workload	100M	200M	300M	400M	500M	
WD1	1.0002177779390948	1.000459753426978	0.9992619747619567	1.0001149383567445	1.0	
WD2	0.9996549531475667	1.000320400648688	0.999783113407042	0.9998373350552814	1.0	
WD3	0.9996417591231119	1.000192487635343	1.0008020318139286	0.9999358374548857	1.0	
WD4	0.9752359435544952	0.9831821554035016	0.9905157282778124	0.9958562857534297	1.0	
WD5	0.9691532122677258	0.9945894609606585	0.9967479206838	0.9997985437591734	1.0	
WD6	1.024249935259517	0.9996908311621049	1.0001056987479984	1.0002219673707964	1.0	
WD7	1.0035804402246002	0.9996941499529589	1.000003324457033	1.0004022593009996	1.0	
WD8	1.0164819590195708	1.009773953387175	0.9990929329980863	0.9988600374165139	1.0	
