workload	page-mapping	cow	logging	
WD1	1.0	1.0043827788270618	1.0030691558913265	
WD2	1.0	1.0447192585939735	1.2073015465698127	
WD3	1.0	1.124916811575535	1.1605429252270238	
WD4	1.0	1.723725571164915	1.345103558315987	
WD5	1.0	1.6399642480993735	1.2891042946709284	
WD6	1.0	1.8875968659378284	1.640599101690985	
WD7	1.0	1.62397611627458	1.3904858104194822	
WD8	1.0	1.3510253984247325	1.7787345022916334	
