workload	page-mapping	cow	logging	
WD1	1.0	5.99140154772141	1.6587642795725341	
WD2	1.0	1.056440021462169	2.227530323146636	
WD3	1.0	1.7196091037255568	1.6320914810850324	
WD4	1.0	4.993705411979834	1.8260168252121736	
WD5	1.0	5.94551410175533	1.7327835684452617	
WD6	1.0	3.7876115353235225	2.0051958940728376	
WD7	1.0	4.0283157111056695	1.885274264173081	
WD8	1.0	1.591188101569841	2.490333704599957	
